symbol,return_pct,sharpe,win_rate,max_drawdown,num_trades,avg_trade_pct,profit_factor,exposure_pct,start_date,end_date
SPY,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2025-01-28,2026-01-27
QQQ,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2025-01-28,2026-01-27
AAPL,-0.28,-0.071,50.0,4.6,2,-0.17,0.96,5.6,2025-01-28,2026-01-27
MSFT,2.26,0.401,100.0,3.5,1,2.26,0.0,9.2,2025-01-28,2026-01-27
