symbol,return_pct,sharpe,win_rate,max_drawdown,num_trades,avg_trade_pct,profit_factor,exposure_pct,start_date,end_date
SPY,11.37,2.676,100.0,1.3,7,1.61,0.0,16.3,2025-01-28,2026-01-27
QQQ,-1.97,-0.419,37.5,4.8,8,-0.27,0.69,13.1,2025-01-28,2026-01-27
AAPL,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2025-01-28,2026-01-27
MSFT,-1.84,-0.638,33.3,2.2,3,-0.62,0.59,4.0,2025-01-28,2026-01-27
NVDA,-3.86,-1.785,0.0,3.9,4,-0.99,0.0,2.0,2025-01-28,2026-01-27
TSLA,-2.91,-1.621,28.6,3.0,7,-0.43,0.1,2.8,2025-01-28,2026-01-27
