sl_pct,2.0,3.0,4.0,5.0
10.0,55.6,88.9,66.7,77.8
12.0,44.4,77.8,77.8,66.7
15.0,44.4,77.8,77.8,66.7
18.0,55.6,55.6,66.7,88.9
20.0,55.6,66.7,77.8,77.8
