tp_pct,sl_pct,symbols_passed,symbols_tested,pass_rate,avg_return,total_trades
4.0,2.0,0,9,0.0,-5.72,611
4.0,3.0,2,9,22.2,0.1,479
4.0,4.0,3,9,33.3,0.77,395
4.0,5.0,3,9,33.3,6.74,343
6.0,2.0,0,9,0.0,3.52,483
6.0,3.0,1,9,11.1,2.9,372
6.0,4.0,3,9,33.3,6.42,297
6.0,5.0,3,9,33.3,9.3,264
8.0,2.0,0,9,0.0,9.93,372
8.0,3.0,1,9,11.1,10.02,296
8.0,4.0,2,9,22.2,9.0,242
8.0,5.0,3,9,33.3,11.57,215
10.0,2.0,0,9,0.0,11.7,334
10.0,3.0,1,9,11.1,12.84,259
10.0,4.0,1,9,11.1,11.59,216
10.0,5.0,2,9,22.2,15.53,185
