tp_pct,sl_pct,symbols_passed,symbols_tested,pass_rate,avg_return,total_trades
15.0,8.0,1,9,11.1,31.12,76
15.0,10.0,2,9,22.2,29.07,71
15.0,12.0,2,9,22.2,26.04,68
20.0,8.0,0,9,0.0,36.33,69
20.0,10.0,0,9,0.0,34.31,62
20.0,12.0,0,9,0.0,30.33,58
25.0,8.0,0,9,0.0,32.76,68
25.0,10.0,0,9,0.0,32.09,61
25.0,12.0,0,9,0.0,26.8,57
