tp_pct,sl_pct,symbols_passed,symbols_tested,pass_rate,avg_return,total_trades
3.0,2.0,0,9,0.0,-4.8,144
3.0,3.0,1,9,11.1,-2.91,130
3.0,4.0,2,9,22.2,-1.61,121
4.0,2.0,0,9,0.0,-2.71,144
4.0,3.0,2,9,22.2,-0.34,129
4.0,4.0,2,9,22.2,-0.37,120
5.0,2.0,0,9,0.0,-2.22,144
5.0,3.0,0,9,0.0,0.66,128
5.0,4.0,1,9,11.1,0.44,118
6.0,2.0,0,9,0.0,-0.23,143
6.0,3.0,0,9,0.0,2.48,126
6.0,4.0,1,9,11.1,2.04,116
